rocket,length,stars,reward,tier,rarity,count,seen,prop
henerprise,extended,7,life_stone,T2,common,1298030,5522,0.004254138964430714
henerprise,extended,7,life_stone,T1,common,1298030,6496,0.00500450682958021
henerprise,extended,7,soul_stone,T2,common,1298030,3855,0.002969885133625571
henerprise,extended,7,soul_stone,T3,common,1298030,48,3.6979114504287263e-05
henerprise,extended,7,soul_stone,T1,common,1298030,3446,0.00265479226212029
henerprise,extended,7,lunar_stone,T2,common,1298030,7361,0.00567090128887622
henerprise,extended,7,lunar_stone,T3,common,1298030,564,0.0004345045954253754
henerprise,extended,7,lunar_totem,T4,common,1298030,24050,0.018528077163085598
henerprise,extended,7,lunar_totem,T4,rare,1298030,1563,0.0012041324160458541
henerprise,extended,7,lunar_totem,T4,epic,1298030,275,0.00021185951018081245
henerprise,extended,7,lunar_totem,T3,common,1298030,8406,0.006475967427563308
henerprise,extended,7,lunar_totem,T3,rare,1298030,704,0.0005423603460628799
henerprise,extended,7,puzzle_cube,T3,common,1298030,21123,0.016273121576542916
henerprise,extended,7,puzzle_cube,T3,rare,1298030,3282,0.0025284469542306417
henerprise,extended,7,puzzle_cube,T4,common,1298030,3354,0.0025839156259870725
henerprise,extended,7,puzzle_cube,T4,rare,1298030,156,0.00012018212213893362
henerprise,extended,7,puzzle_cube,T4,epic,1298030,48,3.6979114504287263e-05
henerprise,extended,7,puzzle_cube,T4,legendary,1298030,13,1.0015176844911134e-05
henerprise,extended,7,shell_stone,T2,common,1298030,9676,0.0074543731654892415
henerprise,extended,7,shell_stone,T3,common,1298030,176,0.00013559008651571998
henerprise,extended,7,terra_stone,T2,common,1298030,11333,0.008730923014105992
henerprise,extended,7,terra_stone,T1,common,1298030,3451,0.0026586442532144866
henerprise,extended,7,the_chalice,T3,common,1298030,23379,0.018011139958244417
henerprise,extended,7,the_chalice,T3,rare,1298030,3613,0.002783448764666456
henerprise,extended,7,the_chalice,T3,epic,1298030,589,0.0004537645508963583
henerprise,extended,7,the_chalice,T2,common,1298030,14427,0.011114535103194842
henerprise,extended,7,the_chalice,T2,epic,1298030,413,0.00031817446438063833
henerprise,extended,7,the_chalice,T1,common,1298030,7511,0.005786461021702118
henerprise,extended,7,the_chalice,T4,common,1298030,823,0.0006340377341047587
henerprise,extended,7,the_chalice,T4,epic,1298030,18,1.3867167939107725e-05
henerprise,extended,7,the_chalice,T4,legendary,1298030,5,3.85199109419659e-06
henerprise,extended,7,beak_of_midas,T3,rare,1298030,3601,0.002774203986040384
henerprise,extended,7,beak_of_midas,T3,common,1298030,25292,0.019484911750884033
henerprise,extended,7,beak_of_midas,T2,common,1298030,10733,0.0082686840828024
henerprise,extended,7,beak_of_midas,T4,common,1298030,4794,0.003693289061115691
henerprise,extended,7,beak_of_midas,T4,rare,1298030,215,0.00016563561705045337
henerprise,extended,7,beak_of_midas,T4,legendary,1298030,12,9.244778626071816e-06
henerprise,extended,7,book_of_basan,T1,common,1298030,25276,0.019472585379382602
henerprise,extended,7,book_of_basan,T2,common,1298030,4216,0.003247998890626565
henerprise,extended,7,book_of_basan,T3,common,1298030,39,3.0045530534733405e-05
henerprise,extended,7,book_of_basan,T3,epic,1298030,1,7.70398218839318e-07
henerprise,extended,7,clarity_stone,T1,common,1298030,8397,0.006469033843593754
henerprise,extended,7,clarity_stone,T2,common,1298030,295,0.00022726747455759883
henerprise,extended,7,mercurys_lens,T3,common,1298030,23129,0.01781854040353459
henerprise,extended,7,mercurys_lens,T3,rare,1298030,3655,0.0028158054898577076
henerprise,extended,7,mercurys_lens,T2,common,1298030,12159,0.009367271942867269
henerprise,extended,7,mercurys_lens,T2,rare,1298030,1985,0.0015292404643960462
henerprise,extended,7,mercurys_lens,T4,common,1298030,32,2.4652743002858177e-05
henerprise,extended,7,mercurys_lens,T4,rare,1298030,1,7.70398218839318e-07
henerprise,extended,7,ornate_gusset,T3,common,1298030,24021,0.01850573561473926
henerprise,extended,7,ornate_gusset,T3,rare,1298030,3867,0.0029791299122516428
henerprise,extended,7,ornate_gusset,T2,common,1298030,9112,0.007019868570063866
henerprise,extended,7,ornate_gusset,T2,epic,1298030,223,0.00017179880280116793
henerprise,extended,7,ornate_gusset,T4,common,1298030,222,0.0001710284045823286
henerprise,extended,7,ornate_gusset,T4,epic,1298030,8,6.163185750714544e-06
henerprise,extended,7,quantum_stone,T1,common,1298030,4834,0.0037241049898692636
henerprise,extended,7,quantum_stone,T2,common,1298030,11148,0.008588399343620717
henerprise,extended,7,quantum_stone,T3,common,1298030,7,5.3927875318752265e-06
henerprise,extended,7,tachyon_stone,T2,common,1298030,9532,0.00734343582197638
henerprise,extended,7,tachyon_stone,T3,common,1298030,1,7.70398218839318e-07
henerprise,extended,7,tungsten_ankh,T3,rare,1298030,4000,0.003081592875357272
henerprise,extended,7,tungsten_ankh,T3,common,1298030,25701,0.019800004622389313
henerprise,extended,7,tungsten_ankh,T3,legendary,1298030,97,7.472862722741385e-05
henerprise,extended,7,tungsten_ankh,T2,common,1298030,6999,0.005392017133656387
henerprise,extended,7,tungsten_ankh,T2,rare,1298030,526,0.00040522946310948127
henerprise,extended,7,tungsten_ankh,T4,common,1298030,2238,0.0017241512137623938
henerprise,extended,7,tungsten_ankh,T4,rare,1298030,116,8.936619338536089e-05
henerprise,extended,7,tungsten_ankh,T4,legendary,1298030,7,5.3927875318752265e-06
henerprise,extended,7,gold_meteorite,T2,common,1298030,104973,0.08087101222621973
henerprise,extended,7,gold_meteorite,T3,common,1298030,7762,0.005979830974630787
henerprise,extended,7,prophecy_stone,T1,common,1298030,5218,0.004019937905903562
henerprise,extended,7,prophecy_stone,T2,common,1298030,83,6.39430521636634e-05
henerprise,extended,7,solar_titanium,T2,common,1298030,62171,0.047896427663459244
henerprise,extended,7,solar_titanium,T3,common,1298030,3438,0.0026486290763695756
henerprise,extended,7,tau_ceti_geode,T2,common,1298030,80575,0.062074836482978055
henerprise,extended,7,tau_ceti_geode,T3,common,1298030,18,1.3867167939107725e-05
